name,tempo
God's Plan,77.169
SAD!,75.023
rockstar (feat. 21 Savage),159.847
Psycho (feat. Ty Dolla $ign),140.124
In My Feelings,91.03
Better Now,145.028
I Like It,136.048
One Kiss (with Dua Lipa),123.994
IDGAF,97.028
FRIENDS,95.079
Havana,104.988
Lucid Dreams,83.903
Nice For What,93.394
Girls Like You (feat. Cardi B),124.959
The Middle,107.01
All The Stars (with SZA),96.924
no tears left to cry,121.993
X,180.073
Moonlight,128.009
Look Alive (feat. Drake),140.022
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",92.213
Te Bote - Remix,96.507
Mine,142.929
Youngblood,120.274
New Rules,116.073
Shape of You,95.977
Love Lies (with Normani),143.955
Meant to Be (feat. Florida Georgia Line),153.995
Jocelyn Flores,134.021
Perfect,95.05
Taste (feat. Offset),97.994
Solo (feat. Demi Lovato),105.005
I Fall Apart,143.95
Nevermind,99.976
Echame La Culpa,96.024
Eastside (with Halsey & Khalid),89.391
Never Be the Same,129.923
Wolves,124.946
changes,64.934
In My Mind,125.905
River (feat. Ed Sheeran),90.09
Dura,95.0
SICKO MODE,155.008
Thunder,167.997
Me Niego,94.023
Jackie Chan,128.005
Finesse (Remix) [feat. Cardi B],105.115
Back To You - From 13 Reasons Why,102.061
Let You Down,148.066
Call Out My Name,134.045
Ric Flair Drip (& Metro Boomin),100.007
Happier,100.015
Too Good At Goodbyes,91.92
Freaky Friday (feat. Chris Brown),133.123
Believer,124.949
FEFE (feat. Nicki Minaj & Murda Beatz),125.978
Rise,106.046
Body (feat. brando),121.958
XO TOUR Llif3,155.096
Sin Pijama,94.014
2002,96.133
Nonstop,154.983
Fuck Love (feat. Trippie Redd),131.036
In My Blood,140.025
Silence,141.971
God is a woman,145.031
Dejala que vuelva (feat. Manuel Turizo),170.019
Flames,93.95
What Lovers Do,110.001
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",95.948
"Let Me Go (with Alesso, Florida Georgia Line & watt)",103.073
Feel It Still,79.028
Pray For Me (with Kendrick Lamar),100.584
Walk It Talk It,145.905
Him & I (with Halsey),87.908
Candy Paint,180.024
Congratulations,123.146
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",94.968
Criminal,79.997
Plug Walk,94.981
lovely (with Khalid),115.284
Stir Fry,181.967
HUMBLE.,150.011
Vaina Loca,93.983
Perfect Duet (Ed Sheeran & Beyonc?),94.992
Corazon (feat. Nego do Borel),198.075
Young Dumb & Broke,136.949
Siguelo Bailando,98.015
Downtown,166.008
Bella,94.016
Promises (with Sam Smith),123.07
Yes Indeed,119.958
I Like Me Better,91.97
This Is Me,191.702
Everybody Dies In Their Nightmares,129.953
Rewrite The Stars,125.046
I Miss You (feat. Julia Michaels),105.076
No Brainer,135.702
Dusk Till Dawn - Radio Edit,180.043
Be Alright,126.684
